#separator:tab
#html:true
#columns:Front	Back	Tags
Что такое архитектура, когда она нужна и когда нет?	<p><b>Архитектура программного обеспечения</b> — это фундаментальная структура системы, описывающая её компоненты, их взаимодействия и связи с окружением. Архитектура нужна для обеспечения масштабируемости, удобства поддержки и разработки, а также повышения эффективности работы команды. Архитектура может не требоваться для очень маленьких или прототипных проектов, где основной целью является быстрая проверка идеи, но даже в таких случаях минимальное планирование архитектуры может сэкономить время на последующих этапах.</p>	android_interview android_arch
Архитектура вашего последнего приложения	TODO	android_interview android_arch
Если бы перед вами стояла задача написать приложение-будильник, с какими проблемами бы вы столкнулись?	<ul><li><b>Точность таймеров и будильников</b>: Необходимо обеспечить точное срабатывание будильника в установленное время, что может быть затруднено спящим режимом устройства.</li><li><b>Работа в фоне</b>: Сохранение работоспособности приложения в фоновом режиме, особенно на новых версиях Android с ограниченными возможностями фоновой работы.</li><li><b>Энергопотребление</b>: Оптимизация использования батареи приложением, особенно важно для будильников, которые должны работать всю ночь.</li><li><b>Взаимодействие с пользователем</b>: Создание удобного пользовательского интерфейса для управления множеством будильников, выбора мелодий, настройки громкости и вибрации.</li><li><b>Поведение в разных часовых поясах</b>: Учет смены часовых поясов пользователем, что может повлиять на срабатывание будильника.</li><li><b>Разрешения и доступ к системным настройкам</b>: Получение необходимых разрешений для запуска мелодии, вибрации и изменения системных настроек.</li></ul>	android_interview android_arch
Описание MVC	<p><img src="mvc.webp" alt="MVC"></p>	android_interview android_arch
Описание MVP	<ul><li><b>Model</b> также представляет бизнес-логику и данные.</li><li><b>View</b> отображает данные и отправляет действия пользователя в Presenter. В отличие от MVVM, View здесь может быть более "умной", например, имея непосредственное знание о своем Presenter.</li><li><b>Presenter</b> действует как посредник между View и Model, обрабатывая всю логику представления, но в отличие от ViewModel, Presenter напрямую обновляет View, обеспечивая более тесную связь между этими компонентами.</li></ul><p> </p><blockquote><b>MVP</b> можно запомнить через <b>Presenter</b>, который напрямую взаимодействует с View, обновляя её и реагируя на действия пользователя, подчеркивая тесную связь между ними.</blockquote><p><img src="mvp.webp" alt="MVVM"></p>	android_interview android_arch
Описание MVVM	<p>MVVM (Model-View-ViewModel) - это архитектурный паттерн, используемый в разработке программного обеспечения для упрощения разработки пользовательских интерфейсов. Он разделяет программу на три основных компонента:</p><ul><li><b>Model</b> представляет собой бизнес-логику и данные. Это могут быть классы для работы с базой данных, сетевые запросы и т.д.</li><li><b>View</b> отображает данные (UI пользователя) и перенаправляет действия пользователя в ViewModel.</li><li><b>ViewModel</b> является посредником между View и Model. Она обрабатывает все логику представления и реакции на действия пользователя, но не имеет прямого доступа к компонентам интерфейса.</li></ul><p> </p><blockquote><b>MVVM</b> можно ассоциировать с <b>ViewModel</b>, который является ключевым компонентом, делая акцент на автоматическом связывании данных между View и Model через наблюдаемые объекты.</blockquote><p><img src="mvvm.png" alt="MVVM"></p>	android_interview android_arch
Описание MVI	<p>MVI (Model-View-Intent) - это архитектурный паттерн, в котором <code>Intent</code> обозначает намерение изменить состояние приложения. Этот подход поощряет приложения работать в более реактивном стиле.</p><ul><li><b>Model</b> содержит состояние приложения. Оно реактивно и изменяется в ответ на Intent'ы.</li><li><b>View</b> отображает состояние Model и отправляет Intent'ы, которые представляют действия пользователя.</li><li><b>Intent</b> является уникальной особенностью MVI и представляет собой действия пользователя, которые изменяют состояние Model. Это создает однонаправленный поток данных, где View отправляет Intent'ы, которые изменяют Model, а новое состояние Model отображается в View.</li></ul><p> </p><blockquote><b>MVI</b> можно запомнить через <b>Intent</b> — уникальную концепцию этого паттерна, подчеркивая однонаправленный поток данных и реактивное обновление состояния приложения.</blockquote><p><img src="mvi.png" alt="MVVM"></p>	android_interview android_arch
MVC vs MVP vs MVVM vs MVI	<p>Архитектурные паттерны MVC (Model-View-Controller), MVP (Model-View-Presenter), MVVM (Model-View-ViewModel) и MVI (Model-View-Intent) широко используются в разработке программного обеспечения для структурирования и организации кода. Каждый из этих паттернов имеет свои преимущества и недостатки, а их применение зависит от конкретных требований проекта, используемых технологий и предпочтений команды разработчиков.</p><p>  ...</p>	android_interview android_arch
Чистая Архитектура	<p><b>Clean Architecture</b> — это концепция архитектуры программного обеспечения, разработанная Робертом Мартином (Uncle Bob), которая направлена на создание программного обеспечения, которое легко тестировать, поддерживать и развивать благодаря четкому разделению кода на слои с определенными задачами. Применение Clean Architecture в разработке приложений для Android помогает решить многие проблемы, связанные с жизненным циклом приложения, зависимостями между компонентами и сложностью поддержки кода при его расширении.</p><p> </p><ul><li><b>Presentation Layer (Презентационный слой)</b>: Включает в себя компоненты пользовательского интерфейса, такие как Activity, Fragment и ViewModel в контексте Android. Задача этого слоя — отображение данных пользователю и обработка пользовательского ввода.</li><li><b>Domain Layer (Доменный слой)</b>: Является ядром приложения, содержит бизнес-логику (entities и use cases). Use Cases (или Interactors) описывают конкретные действия или бизнес-операции, которые могут быть выполнены в приложении. Entities представляют собой основные бизнес-модели. Этот слой не зависит от других слоев и определяет правила и случаи использования, специфичные для предметной области приложения.</li><li><b>Data Layer (Слой данных)</b>: Отвечает за доступ к данным, будь то локальное хранилище (например, база данных SQLite) или внешние источники данных (например, веб-сервисы). Слой данных включает в себя репозитории, которые абстрагируют источники данных от остальной части приложения, предоставляя данные для доменного слоя.</li></ul><p> </p><p>Принципы Clean Architecture обеспечивают, что каждый слой зависит только от внутренних слоев, а не от внешних. Это означает, что изменения в одном слое минимально влияют на другие слои, что упрощает тестирование и обновление приложения.</p><p><img src="clean_arch.jpg" alt="MVVM"></p>	android_interview android_arch
Объясните OkHttp Interceptor	<p><code>OkHttp Interceptor</code> позволяет перехватывать и модифицировать запросы и ответы перед и после их отправки/получения соответственно. Это может быть полезно для добавления, удаления или изменения заголовков запросов и ответов, логирования запросов/ответов, управления кэшированием и т.д.</p>	android_interview android_libraries
